Date,WYNN,FIS,VLO,MRK,DTE,REGN,YUM,HST,AES,XOM,NEE,HAL,IVZ,LOW,WEC,XEL,CDNS,BXP,TURN,FLWS
2022-09-09 00:00:00,62.779998779296875,91.4800033569336,113.31999969482422,87.33999633789062,135.5,724.3200073242188,116.08999633789062,18.239999771118164,27.43000030517578,96.5,89.9000015258789,29.65999984741211,17.579999923706055,205.64999389648438,106.44000244140625,76.9800033569336,174.67999267578125,85.80000305175781,6.039999961853027,6.829999923706055
2022-09-12 00:00:00,64.51000213623047,93.05000305175781,114.25,88.16000366210938,135.97000122070312,710.739990234375,117.26000213623047,18.489999771118164,27.59000015258789,97.61000061035156,90.80999755859375,30.280000686645508,17.81999969482422,206.39999389648438,107.23999786376953,77.41000366210938,175.02000427246094,87.20999908447266,6.050000190734863,6.78000020980835
2022-09-13 00:00:00,62.68000030517578,89.29000091552734,111.33000183105469,86.27999877929688,132.97999572753906,701.3900146484375,113.58000183105469,17.8799991607666,26.829999923706055,95.33000183105469,88.86000061035156,29.149999618530273,16.520000457763672,193.6300048828125,103.80000305175781,75.08000183105469,166.9199981689453,84.5199966430664,5.949999809265137,6.329999923706055
2022-09-14 00:00:00,60.689998626708984,87.05999755859375,109.58999633789062,86.94999694824219,134.0500030517578,697.6199951171875,114.81999969482422,18.31999969482422,27.030000686645508,97.66999816894531,88.87999725341797,30.399999618530273,16.31999969482422,192.38999938964844,104.44000244140625,75.30999755859375,167.22999572753906,83.72000122070312,5.960000038146973,6.199999809265137
2022-09-15 00:00:00,65.2300033569336,85.69000244140625,105.16000366210938,86.75,130.60000610351562,705.8499755859375,115.16000366210938,18.1299991607666,26.690000534057617,94.83000183105469,86.01000213623047,29.399999618530273,16.3799991607666,191.0399932861328,101.05999755859375,73.37999725341797,163.0500030517578,82.7699966430664,5.980000019073486,6.260000228881836
2022-09-16 00:00:00,65.41999816894531,84.26000213623047,104.45999908447266,87.72000122070312,129.89999389648438,710.2999877929688,115.72000122070312,17.770000457763672,25.920000076293945,93.20999908447266,84.79000091552734,28.190000534057617,16.09000015258789,191.80999755859375,101.29000091552734,73.9000015258789,164.27000427246094,83.43000030517578,5.940000057220459,6.099999904632568
2022-09-19 00:00:00,65.88999938964844,82.38999938964844,104.66999816894531,86.63999938964844,130.89999389648438,715.3400268554688,116.16000366210938,17.81999969482422,26.600000381469727,93.19999694824219,86.83999633789062,28.3700008392334,16.860000610351562,195.10000610351562,102.27999877929688,74.52999877929688,167.19000244140625,81.9800033569336,5.889999866485596,6.460000038146973
2022-09-20 00:00:00,67.80000305175781,81.7300033569336,107.41999816894531,86.0,128.6699981689453,704.219970703125,115.25,17.700000762939453,25.889999389648438,92.44000244140625,85.69000244140625,27.6200008392334,16.3700008392334,190.41000366210938,100.95999908447266,73.4800033569336,166.99000549316406,79.52999877929688,5.920000076293945,6.309999942779541
2022-09-21 00:00:00,63.9900016784668,80.44999694824219,105.52999877929688,84.52999877929688,126.58999633789062,684.6300048828125,112.56999969482422,16.799999237060547,25.399999618530273,90.94999694824219,83.97000122070312,27.079999923706055,16.010000228881836,188.36000061035156,99.93000030517578,72.5,166.0399932861328,77.47000122070312,5.909999847412109,5.980000019073486
2022-09-22 00:00:00,60.189998626708984,80.51000213623047,107.58999633789062,87.51000213623047,126.58000183105469,688.260009765625,110.79000091552734,16.190000534057617,25.030000686645508,90.56999969482422,83.54000091552734,26.920000076293945,15.609999656677246,188.1199951171875,100.1500015258789,72.44999694824219,162.32000732421875,77.83999633789062,5.800000190734863,6.230000019073486
